Cake,Alfajores,Coffee,Bread
Truffles,Coffee,Tshirt
Scandinavian
Coffee,Bread
Cake,Coffee
Cake,Valentine's card,Salad
Cake,Soup,Bread
Bread
Brownie
Juice,Tea,Bread,Cake,Soup
Hot chocolate
Spanish Brunch,Tea,Chicken Stew,Cake,Farm House,Smoothies
Sandwich
Coffee,Sandwich,Brownie
Scone,Bread
Coffee
Alfajores,Jammie Dodgers,Coffee,Bread
Coffee
NONE,Coffee,Chicken Stew,Bread
Bread
Coffee,Jam
Tea,Coffee,Pastry
Farm House
Coffee,Pastry,NONE,Bread
Farm House
Coffee,Pastry
Farm House
Coffee,Pastry
NONE,Coffee
Coffee
Mineral water,Sandwich,Tea,Coke,NONE,Soup
Coffee,Sandwich
Spanish Brunch
Jammie Dodgers,Coffee,Tiffin,Juice
Bread
Coffee,Sandwich,NONE,Scandinavian,Fudge,Bread
Bread
Farm House,Bread
Cake,Pastry
Coffee
Cake,Brownie
Cake,Tea,Hot chocolate,Cookies
Cake,Coffee,Pastry
Coffee,NONE
Coffee
Tea,Cookies,Medialuna,Bread
Bread
NONE,Tea,Coke,Brownie,Cake,Bread
Medialuna,Pastry
Toast,Medialuna,Bread
Tea,NONE,Sandwich,Bread
Coffee
Pastry,Bread
Coffee
Farm House
Coffee
Coke
Coffee,Bread
Coffee,Bread
Alfajores,Coffee,Sandwich,Bread
Coffee,Medialuna,Cookies,Bread
Coffee,Cookies
Coffee,Pastry,Bread
Farm House
Tea,NONE
Coffee,Bread
Coke,Bread
Coffee
Tea,Farm House,Pastry
Coffee
Juice,Coffee,Pastry
Juice,Coffee,Pastry
Hearty & Seasonal,Muffin,Sandwich,Brownie,Bread
Alfajores,Coffee,Cookies,Bread
Hearty & Seasonal,Tea,Farm House
Alfajores,Coffee
Tea,Coffee,Hot chocolate
Muffin,Jam
Hot chocolate,Coffee
Muffin,Coffee,Cookies,Bread
Tea,Coffee,Bread
Alfajores,Truffles,Coffee,Brownie
Soup,Bread
Soup,Coffee
Tea
Coffee
Coffee,NONE
Coffee
Coffee
Coffee
Bread
Cake,Soup,Salad
Tea,NONE,Extra Salami or Feta
Hearty & Seasonal,Coffee
Alfajores,Farm House,Medialuna,Scandinavian
Cake,Hot chocolate,Coffee
Pastry
Medialuna
Coffee,Medialuna
Tea,Coffee,Brownie,Soup
Bread
Coffee
Coffee
Cookies,Coffee
Baguette
Granola,Scandinavian
Tea,Coffee,Pastry,Scone
Tea,Hot chocolate,Muffin
Bread
Tea,Jammie Dodgers,Muffin
Cake,Vegan mincepie,Coffee,Hot chocolate,Bread
Brownie,Coke,Sandwich,Mineral water,Frittata
Toast,Coffee
Bread
Bread
Coffee
Bread
Coffee,Brownie,Frittata
Bread
Tea,NONE,Art Tray
Coffee
Tea,Bread
Coffee
Cake,Juice,Coffee,Cookies
Coffee
Pastry,Scandinavian
Coffee
Scandinavian
Farm House,Hot chocolate,Coffee
Toast,Coffee
Cake,Coffee
Bread
Toast,Tea
Cake,Coffee,Cookies
Coffee,Brioche and salami,Bread
Toast,Coffee
Coffee,Granola,Bread
Coffee,Sandwich,Pastry
Mineral water,Coffee,NONE
Alfajores,Coffee,Sandwich,Salad,Bread
Bread
Bread
Coffee
Cake,Focaccia
Focaccia,Farm House,Brownie,Pastry
Coffee,Sandwich,Brownie
Tea,NONE
Coffee,Pastry
Hearty & Seasonal
Hearty & Seasonal
Hearty & Seasonal,Soup,Mineral water
Cake,Tea
Coffee
Cake,Coffee,Bread
Juice,Cookies,Tea
Bread
Cake,Jammie Dodgers,Bread
NONE,Sandwich
Tea
Cake,NONE,Sandwich
Farm House
Tea,Muffin
Cake,Coffee,Hot chocolate,Bread
Tea,Coffee,Jam,Fudge,Bread
Cake,Coffee
Alfajores
Toast,Tea,Coffee
Medialuna,Pastry
Coke
Cookies,Bread
Scandinavian
Bread
Coffee,Medialuna
Coffee,Bread
Bread
Gingerbread syrup
Brownie,Bread
Panatone
NONE,Sandwich,Coffee,Coke,Bread
Scone,Bread
Bread
Tea,NONE
Coffee,Scone
Bread
Bread
NONE
Farm House
Coffee
Tea,Sandwich,Scone
NONE,Coffee,Bread
Jammie Dodgers,Coffee
Toast,Tea,NONE,Coffee
Coffee,Salad,NONE,Tea,Tiffin,Bread
Cake,Alfajores,Coffee,Pastry,Bread
Coffee,Pastry
Coffee,Pastry
Cookies,Coffee
Bread
Coffee
Muffin,Bread
Coffee,Bread
Soup,Tea
Coffee
Cake,Juice,NONE,Coffee,Soup
Coffee
Coffee,Medialuna,Fudge
Bread
Coffee,Medialuna,Fudge
Coffee
Coffee,Medialuna,Scone
Bread
Medialuna
Coffee,Medialuna
Alfajores,Coffee,Pastry,Bread
Mineral water,Sandwich,Crisps
Coffee,Medialuna,Pastry
Coffee
Spanish Brunch,Bread
Coffee
Bread
Coffee
Coffee
Tea,Medialuna,Bread
Cake,Tea,Sandwich,Chicken Stew
Soup,Coffee
Truffles,Spanish Brunch,NONE,Coke,Brownie,Extra Salami or Feta
Cake,Soup,Chicken Stew,Scone
Scone,Scandinavian
NONE,Farm House
Bread
Muffin,Sandwich,Bread
Brownie,Bread
Coke,Chicken Stew
Toast,Coffee,Spanish Brunch,Extra Salami or Feta
Cake,Coffee
Juice,Spanish Brunch,Coffee
Bread
Bread
Pastry
Coffee
Coffee,Pastry,Bread
Cake,Muffin,Coffee,Tea
Baguette,Bread
Coffee
Coffee
Jammie Dodgers
Alfajores,Coffee,Bread
Jammie Dodgers,Tiffin
Afternoon with the baker
Afternoon with the baker
Afternoon with the baker
Afternoon with the baker
Afternoon with the baker
Bread
Mineral water,Bread
Coffee
Jam,Bread
Cake,Alfajores,Mineral water,Coffee,NONE
NONE,Bread
Coffee
Brownie
Coffee,Sandwich,NONE,Mineral water
Coffee,Hot chocolate
Tartine,Coffee,Pick and Mix Bowls,Jam
Focaccia
Tea,Bread
Tartine
